decade,position,artist,song,indicativerevenue,us,uk,de,fr,ca,au
"2020s","54","Future & Drake & Tems","WAIT FOR U","12898.8327189336","1","8","77","135","3","12"
"2020s","55","Doja Cat","Need To Know","12850.7356925438","8","11","53","73","16","9"
"2020s","56","Silk Sonic (Bruno Mars & Anderson .Paak)","Leave The Door Open","12682.8637332551","1","20","72","26","9","10"
"2020s","57","SZA","Snooze","12516.6966858369","2","18","-","-","11","21"
"2020s","58","Doja Cat & Nicki Minaj","Say So","12485.1953531662","1","2","33","9","3","4"
"2020s","59","Rema","Calm Down","12446.7725940244","-","3","15","2","-","-"
"2020s","60","Jack Harlow & DaBaby, Tory Lanez & Lil' Wayne","WHATS POPPIN","12357.2854352462","2","25","55","194","4","8"
"2020s","61","Beyonce","Cuff It","12194.4281712719","6","5","29","14","16","8"
"2020s","62","Latto","Big Energy","12084.3709316775","3","57","-","-","9","6"
"2020s","63","Farruko","Pepas","12070.3767839659","25","-","11","3","23","-"
"2020s","64","Future & Drake","Life Is Good","12062.883353266","2","3","8","33","3","11"
"2020s","65","Kate Bush","Running Up That Hill (A Deal With God)","11976.2115986777","3","1","4","3","2","1"
"2020s","66","Pop Smoke & Lil Baby & DaBaby","For The Night","11915.6303111988","6","15","28","31","7","13"
"2020s","67","Masked Wolf","Astronaut In The Ocean","11694.9500219395","6","12","4","29","5","4"
"2020s","68","Lost Frequencies & Calum Scott","Where Are You Now","11640.627614552","-","3","5","18","26","5"
"2020s","69","Internet Money & Gunna & Don Toliver & NAV","Lemonade","11558.9562446408","6","1","2","13","3","5"
"2020s","70","Tate McRae","You Broke Me First","11540.3367345378","17","3","19","58","8","7"
"2020s","71","Raye & 070 Shake","Escapism","11439.2794778848","22","1","3","35","9","3"
"2020s","72","BTS","Dynamite","11401.9855356869","1","3","8","18","2","2"
"2020s","73","Pop Smoke","What You Know Bout Love","11366.7179500334","9","4","12","28","16","5"
"2020s","74","Bailey Zimmerman","Rock And A Hard Place","11277.7179076102","10","-","-","-","17","41"
"2020s","75","Ariana Grande","Positions","11162.7159985779","1","1","9","20","1","1"
"2020s","76","Taylor Swift","Cruel Summer","11079.2706097144","1","2","15","83","1","2"
"2020s","77","Post Malone & Doja Cat","I Like You (A Happier Song)","11041.7472746701","3","19","59","166","5","7"
"2020s","78","Morgan Wallen","Wasted On You","10892.502659898","9","-","-","-","10","-"
"2020s","79","Maneskin","Beggin'","10834.5770622812","13","6","1","5","9","3"
"2020s","80","SAINt JHN","Roses","10723.4492914221","4","1","84","188","1","-"
"2020s","81","David Kushner","Daylight","10706.4111395604","33","2","4","8","6","4"
"2020s","82","Nicky Youre & dazy","Sunroof","10667.5299759397","4","29","34","-","1","8"
"2020s","83","Miguel","Sure Thing","10466.523680197","11","4","22","66","15","6"
"2020s","84","Walker Hayes","Fancy Like","10437.1701774372","3","-","-","-","9","42"
"2020s","85","Dua Lipa","Dance The Night","10255.4134719948","6","1","7","5","4","3"
"2020s","86","Cardi B & Megan Thee Stallion","WAP","10225.1341513529","1","1","12","30","1","1"
"2020s","87","Brenda Lee","Rockin' Around The Christmas Tree","10213.3026520655","2","4","4","7","1","2"
"2020s","88","Justin Bieber & Quavo","Intentions","10021.5585789821","5","8","23","58","4","2"
"2020s","89","Kodak Black","Super Gremlin","10018.2488405448","3","-","-","-","24","-"
"2020s","90","Wham!","Last Christmas","10007.5296348844","4","1","1","2","3","2"
"2020s","91","Maroon 5","Memories","9931.99000950179","2","13","20","15","2","4"
"2020s","92","Camila Cabello & Ed Sheeran","Bam Bam","9918.58865422067","21","7","12","7","4","11"
"2020s","93","Stephen Sanchez","Until I Found You","9835.16362007029","23","14","52","111","15","8"
"2020s","94","Harry Styles","Late Night Talking","9767.69574181574","3","2","83","32","3","2"
"2020s","95","Drake & Lil Durk","Laugh Now Cry Later","9707.65732826712","2","4","25","50","1","3"
"2020s","96","Morgan Wallen","Thought You Should Know","9455.82901724765","7","-","-","-","14","-"
"2020s","97","Doja Cat & The Weeknd","You Right","9402.29872902814","11","9","54","120","10","11"
"2020s","98","Olivia Rodrigo","Vampire","9380.24059618016","1","1","10","45","1","1"
"2020s","99","Ava Max","Kings & Queens","9338.83658077541","13","19","16","32","15","31"
"2020s","100","Topic & A7S","Breaking Me","9302.94868077385","53","3","3","14","9","4"
"2020s","101","DJ Ti.sto","The Business","9130.14151919963","69","3","3","62","13","4"
"2020s","102","Drake & 21 Savage","Rich Flex","9017.04009177089","2","3","42","74","1","3"
"2020s","103","Justin Bieber & Chance The Rapper","Holy","9004.09159949904","3","7","22","125","1","4"
"2020s","104","Trevor Daniel","Falling","8898.34156492081","17","14","13","21","13","13"
"2020s","105","Olivia Rodrigo","Deja Vu","8889.93446269261","3","4","55","131","4","3"
"2020s","106","Bobby Helms","Jingle Bell Rock","8878.4433955693","3","7","6","35","4","6"
"2020s","107","Gunna","Fukumean","8874.48411818688","4","7","17","85","3","7"
"2020s","108","BTS","Butter","8859.57165566092","1","3","6","7","2","6"
"2020s","109","Machine Gun Kelly & BLACKBEAR","My Ex's Best Friend","8800.4976282922","20","30","68","-","26","22"
"2020s","110","Dua Lipa","Break My Heart","8710.78356982546","13","6","26","56","13","7"
"2020s","111","Powfu & Beabadoobee","Death Bed","8593.91370244329","23","4","18","19","11","5"
"2020s","112","Coi Leray","Players","8587.48306288589","9","7","44","45","10","7"
"2020s","113","Nicki Minaj","Super Freaky Girl","8540.65240789479","1","5","33","-","8","1"
"2020s","114","Doja Cat","Paint The Town Red","8520.23482916405","1","1","2","5","1","1"
"2020s","115","Luke Combs","The Kind of Love We Make","8519.81999136517","8","72","-","-","13","17"
"2020s","116","Billie Eilish","Happier Than Ever","8410.41996701407","13","4","23","39","6","3"
"2020s","117","Lil Mosey","Blueberry Faygo","8393.43609845093","8","9","37","109","8","16"
"2020s","118","Billie Eilish","everything i wanted","8348.2584013232","9","6","22","38","13","9"
"2020s","119","Drake","Toosie Slide","8310.15283198706","1","1","2","4","2","3"
"2020s","120","SAINt JHN","Roses (Imanbek Remix)","8218.95619893598","55","-","3","2","6","1"
"2020s","121","Morgan Wallen","Thinkin' Bout Me","8146.92837467953","7","-","-","-","13","-"
"2020s","122","JVKE","golden hour","8140.57292420111","10","19","66","-","19","29"
"2020s","123","Kane Brown With Katelyn Brown","Thank God","8117.10494015737","13","-","-","-","43","-"
"2020s","124","Gabby Barrett & Charlie Puth","I Hope","8110.47415502928","3","84","-","-","-","-"
"2020s","125","Billie Eilish","Therefore I Am","7968.92728259368","2","2","5","34","2","3"
"2020s","126","Lil Durk & J Cole","All My Life","7962.7796815133","2","14","97","-","8","9"
"2020s","127","Meghan Trainor","Made You Look","7957.94828090208","11","2","26","153","7","3"
"2020s","128","Rosa Linn","Snap","7918.03280845834","67","21","8","10","29","20"
"2020s","129","Taylor Swift","Lavender Haze","7903.41734362124","2","3","71","78","2","2"
"2020s","130","Bad Bunny","Titi me pregunto","7858.06231280753","5","-","-","186","80","-"
"2020s","131","Arizona Zervas","Roxanne","7792.05623266181","4","4","27","16","3","3"
"2020s","132","DJ Ti.sto & Ava Max","The Motto","7735.479202782","42","12","10","60","6","22"
"2020s","133","Luke Combs","Forever After All","7722.54790696242","2","-","-","-","3","14"
"2020s","134","Lil Uzi Vert","Just Wanna Rock","7633.93618511405","10","30","91","-","20","39"
"2020s","135","Apache 207","Roller","7630.75342133343","-","-","3","-","-","-"
"2020s","136","Bad Bunny & Jhay Cortez","Dakiti","7543.12530392656","5","-","-","5","73","-"
"2020s","137","Beyonce","Break My Soul","7538.0818786395","1","2","42","18","4","6"
"2020s","138","Maren Morris","The Bones","7520.7605813278","12","-","-","-","45","-"
"2020s","139","Bad Bunny & Chencho Corleone","Me porto bonito","7491.02970539206","6","-","-","-","68","-"
"2020s","140","Ed Sheeran","Eyes Closed","7468.88516450737","19","1","13","32","4","6"
"2020s","141","Lady Gaga & Ariana Grande","Rain On Me","7464.65100695571","1","1","9","12","1","2"
"2020s","142","CJ","Whoopty","7366.93809632836","10","3","22","14","14","13"
"2020s","143","Post Malone","Chemical","7366.30136053693","13","11","24","-","8","13"
"2020s","144","Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz","We Don't Talk About Bruno","7361.79086064723","1","-","71","-","3","5"
"2020s","145","The Weeknd","Take My Breath","7330.51069798979","6","13","18","17","3","9"
"2020s","146","Doja Cat","Vegas","7281.34748236947","10","24","-","-","14","4"
"2020s","147","Andy Williams","It's The Most Wonderful Time Of The Year","7256.0470870993","5","9","22","37","7","8"
"2020s","148","Drake & 21 Savage","Jimmy Cooks","7181.94814671521","1","7","34","98","1","4"
"2020s","149","Acraze & Cherish","Do It To It","7104.13641463966","65","9","3","28","33","6"
"2020s","150","Shouse","Love Tonight","7049.00606724441","-","18","4","8","61","22"
"2020s","151","Polo G","Rapstar","7017.56946042201","1","3","29","-","1","4"
"2020s","152","Coldplay & BTS","My Universe","6992.91871132087","1","3","13","33","9","7"
"2020s","153","Toosii","Favorite Song","6988.3054555055","5","87","-","-","41","-"
"2020s","154","Cardi B","Up","6982.17660173997","1","16","99","169","7","11"
"2020s","155","Surf Mesa & Emilee","ILY (I Love You Baby)","6905.62996597626","23","22","7","12","37","17"
"2020s","156","Lil Tjay & 6LACK","Calling My Phone","6814.78209168383","3","2","32","110","1","3"
"2020s","157","CKay","Love Nwantiti","6781.1740427371","26","3","-","-","5","-"
"2020s","158","WizKid & Justin Bieber & Tems","Essence","6773.41178729087","9","-","-","-","30","-"
"2020s","159","Cole Swindell","She Had Me At Heads Carolina","6747.32412878164","16","-","-","-","24","-"
"2020s","160","Post Malone & The Weeknd","One Right Now","6745.37852487235","6","20","45","133","7","9"
"2020s","161","Miley Cyrus","Midnight Sky","6697.10829414394","14","5","27","123","8","7"
"2020s","162","Jose Feliciano","Feliz Navidad","6670.20657544182","6","21","7","46","9","19"
"2020s","163","Olivia Rodrigo","Traitor","6652.23844249573","9","5","-","-","9","5"
"2020s","164","Giveon","Heartbreak Anniversary","6619.57361448247","16","35","-","112","25","12"
"2020s","165","Maroon 5 & Megan Thee Stallion","Beautiful Mistakes","6601.79538332972","13","50","-","38","7","36"
"2020s","166","PinkPantheress & Ice Spice","Boy's A Liar, Pt. 2","6558.3433824029","3","-","-","-","2","-"
"2020s","167","Saweetie & Doja Cat","Best Friend","6523.71249366723","14","35","-","-","40","35"
"2020s","168","Nathan Evans","Wellerman","6427.38284343995","-","-","1","36","54","-"
"2020s","169","Em Beihold","Numb Little Bug","6409.73428752418","18","25","-","-","44","31"
"2020s","170","Jelly Roll","Need A Favor","6360.41649873321","14","-","-","-","36","-"
"2020s","171","Eslabon Armado & Peso Pluma","Ella Baila Sola","6358.75475687726","4","-","-","-","62","-"
"2020s","172","Joji","Glimpse Of Us","6326.35877343447","8","12","31","57","5","1"
"2020s","173","Fifty Fifty","Cupid","6288.85573195253","17","8","-","-","6","-"
"2020s","174","Joel Corry & MNEK","Head & Heart","6273.74384364173","99","-","4","46","35","2"
"2020s","175","The Killers","Mr Brightside","6264.13296867365","-","51","-","-","-","23"
"2020s","176","Jordan Davis & Luke Bryan","Buy Dirt","6191.054223976","22","-","-","-","23","-"
"2020s","177","Drake & 21 Savage & Project Pat","Knife Talk","6190.29447788636","4","87","-","83","6","13"
"2020s","178","Michael Buble","It's Beginning To Look A Lot Like Christmas","6174.73459801345","20","6","6","8","4","3"
"2020s","179","Libianca","People","6172.49787247033","80","2","35","19","39","22"
"2020s","180","Billie Eilish","Bad Guy","6142.5279913072","14","15","19","37","6","3"
"2020s","181","Nicki Minaj & Ice Spice with Aqua","Barbie World","6109.7641011896","7","-","10","16","7","3"
"2020s","182","Rihanna","Lift Me Up","6101.95867943465","2","3","9","3","3","5"
"2020s","183","Dove Cameron","Boyfriend","6080.84171118649","16","9","26","123","25","15"
"2020s","184","Tate McRae","She's All I Wanna Be","6056.03298905958","44","14","50","-","10","19"
"2020s","185","AJR","Bang!","6047.85664802234","8","-","-","-","20","37"
"2020s","186","Kelly Clarkson","Underneath The Tree","6041.4400891787","12","12","9","85","9","15"
"2020s","187","Oliver Tree & Robin Schulz","Miss You","6028.92949979768","84","3","12","23","28","4"
"2020s","188","Fireboy DML & Ed Sheeran","Peru","6025.6673234333","53","2","-","28","37","-"
"2020s","189","Camila Cabello & DaBaby","My Oh My","5998.61351036553","12","13","53","142","13","19"
"2020s","190","Morgan Wallen","Sand In My Boots","5989.65383724315","30","-","-","-","31","-"
"2020s","191","Drake & Future & Young Thug","Way 2 Sexy","5987.55718648934","1","11","66","28","3","7"
"2020s","192","Justin Bieber & Benny Blanco","Lonely","5972.06457712057","12","17","9","35","1","11"
"2020s","193","James Hype & Miggy Dela Rosa","Ferrari","5970.86908506978","-","6","4","74","69","29"
"2020s","194","Travi$ Scott & HVME","Goosebumps","5950.97871769409","47","8","-","10","10","5"
"2020s","195","Lil Nas X","Star Walkin'","5931.66037342817","32","40","25","18","17","21"
"2020s","196","Elton John & Britney Spears","Hold Me Closer","5928.6352179931","6","3","31","65","3","1"
"2020s","197","Riton & Nightcrawlers & Mufasa & Hypeman","Friday (Dopamine Re-Edit)","5919.69535789123","-","-","3","21","-","12"
"2020s","198","BLACKBEAR","Hot Girl Bummer","5894.57438205708","11","35","34","110","33","24"
"2020s","199","Regard","Ride It","5892.4733651357","-","11","4","13","-","6"
"2020s","200","Dean Martin","Let It Snow! Let It Snow! Let It Snow!","5866.03538471868","8","20","11","11","12","20"
